hostname,planet_letter,semi_major_axis,distance,apparent_magnitude,st_sp,spectral_type
K2-37,b,0.051100,180.86,12.520,4.30,G3 V
K2-37,c,0.065400,180.86,12.520,4.30,G3 V
K2-37,d,0.110300,180.86,12.520,4.30,G3 V
K2-38,c,0.096400,193.71,11.390,4.20,G2 V
K2-5,b,0.053200,204.12,14.910,5.75,K7.5 V
K2-5,c,0.081800,204.12,14.910,5.75,K7.5 V
K2-60,b,0.045000,498.70,12.789,4.40,G4 V
K2-8,b,0.085600,407.93,14.610,5.30,K3 V
K2-8,c,0.053200,407.93,14.610,5.30,K3 V
K2-9,b,0.091000,83.16,15.630,6.25,M2.5 V
K2-95,b,0.069600,180.63,15.498,6.30,M3.0
K2-98,b,0.097400,526.31,12.166,3.80,F8 V
K2-99,b,0.159700,522.29,11.149,4.00,G0 IV
KELT-10,b,0.052500,183.00,10.854,4.00,G0 V
KELT-14,b,0.030050,266.00,11.000,4.40,G4
KELT-16,b,0.020440,450.28,11.898,3.70,F7 V
KELT-17,b,0.048810,210.00,9.286,2.00,A
KELT-18,b,0.045500,311.00,10.117,3.40,F4 V
KELT-19 A,b,0.063700,302.80,9.885,2.80,A8 V
KELT-20,b,0.054200,139.70,7.580,2.20,A2 V
KELT-23 A,b,0.033020,125.42,10.253,4.20,G2 V
KELT-24,b,0.069690,96.03,8.332,3.50,F5
KELT-4 A,b,0.043170,210.00,9.980,3.00,F
KELT-6,c,2.390000,242.39,10.418,3.80,F8
KELT-9,b,0.034620,205.65,7.550,1.98,B9.5-A0
KIC 5095269,b,0.800000,1230.60,13.528,3.70,F7 V
KOI-1257,b,0.382000,900.00,14.867,4.50,G5 V
KOI-55,b,0.006000,1180.00,14.870,1.00,B
KOI-55,c,0.007600,1180.00,14.870,1.00,B
KPS-1,b,0.026900,264.69,13.033,5.10,K1 V
Kapteyn,c,0.311000,3.93,8.845,6.00,M0 V
Kepler-101,b,0.047400,953.44,13.800,4.30,G3 IV
Kepler-101,c,0.068400,953.44,13.800,4.30,G3 IV
Kepler-114,b,0.053000,261.49,13.738,6.00,M0 V
Kepler-117,b,0.144500,1430.00,14.274,3.80,F8 V
Kepler-117,c,0.280400,1430.00,14.274,3.80,F8 V
Kepler-120,b,0.055000,393.02,14.735,6.00,M0 V
Kepler-120,c,0.088000,393.02,14.735,6.00,M0 V
Kepler-125,b,0.041000,184.34,14.752,6.10,M1 V
Kepler-125,c,0.051000,184.34,14.752,6.10,M1 V
Kepler-155,b,0.056000,295.99,14.258,6.00,M0 V
Kepler-155,c,0.242000,295.99,14.258,6.00,M0 V
Kepler-159,b,0.082000,377.79,14.902,6.00,M0 V
Kepler-159,c,0.218000,377.79,14.902,6.00,M0 V
Kepler-1654,b,2.026000,577.60,13.424,4.50,G5 V
Kepler-1655,b,0.103000,214.58,11.072,4.00,G0 V
Kepler-1661,b,0.633000,415.52,14.216,5.00,K
Kepler-167,b,0.048300,330.00,14.023,5.40,K4
Kepler-167,c,0.068400,330.00,14.023,5.40,K4
Kepler-167,d,0.140500,330.00,14.023,5.40,K4
Kepler-167,e,1.890000,330.00,14.023,5.40,K4
Kepler-17,b,0.025910,800.00,14.141,4.20,G2 V
Kepler-186,b,0.034300,172.00,14.625,6.10,M1
Kepler-186,c,0.045100,172.00,14.625,6.10,M1
Kepler-186,d,0.078100,172.00,14.625,6.10,M1
Kepler-186,e,0.110000,172.00,14.625,6.10,M1
Kepler-186,f,0.432000,172.00,14.625,6.10,M1
Kepler-205,b,0.032000,160.46,13.506,6.10,M1 V
Kepler-205,c,0.122000,160.46,13.506,6.10,M1 V
Kepler-21,b,0.042717,108.86,8.250,3.60,F6 IV
Kepler-210,b,0.032000,234.33,13.822,6.00,M0 V
Kepler-210,c,0.070000,234.33,13.822,6.00,M0 V
Kepler-22,b,0.849000,190.00,11.664,4.50,G5 V
Kepler-225,b,0.056000,569.99,15.962,6.10,M1 V
Kepler-225,c,0.111000,569.99,15.962,6.10,M1 V
Kepler-231,b,0.074000,319.49,15.385,6.10,M1 V
Kepler-231,c,0.114000,319.49,15.385,6.10,M1 V
Kepler-235,b,0.037000,433.24,15.954,6.00,M0 V
Kepler-235,c,0.065000,433.24,15.954,6.00,M0 V
Kepler-235,d,0.122000,433.24,15.954,6.00,M0 V
Kepler-235,e,0.213000,433.24,15.954,6.00,M0 V
Kepler-236,b,0.065000,291.17,15.414,6.10,M1 V
Kepler-236,c,0.132000,291.17,15.414,6.10,M1 V
Kepler-249,b,0.035000,191.44,15.234,6.20,M2 V
Kepler-249,c,0.058000,191.44,15.234,6.20,M2 V
Kepler-249,d,0.097000,191.44,15.234,6.20,M2 V
Kepler-252,b,0.058000,383.59,15.058,6.00,M0 V
Kepler-252,c,0.080000,383.59,15.058,6.00,M0 V
Kepler-26,d,0.039000,338.55,15.473,6.00,M0 V
Kepler-26,e,0.220000,338.55,15.473,6.00,M0 V
Kepler-267,b,0.037000,267.00,15.438,6.10,M1 V
Kepler-267,c,0.060000,267.00,15.438,6.10,M1 V
Kepler-267,d,0.154000,267.00,15.438,6.10,M1 V
Kepler-28,b,0.062000,443.92,15.036,6.00,M0 V
Kepler-28,c,0.081000,443.92,15.036,6.00,M0 V
Kepler-287,b,0.145000,856.33,14.775,5.70,K7 V
Kepler-287,c,0.246000,856.33,14.775,5.70,K7 V
Kepler-296,b,0.079000,226.00,15.921,6.20,M2 V
Kepler-296,c,0.052100,226.00,15.921,6.20,M2 V
Kepler-296,d,0.118000,226.00,15.921,6.20,M2 V
Kepler-296,e,0.169000,226.00,15.921,6.20,M2 V
Kepler-296,f,0.255000,226.00,15.921,6.20,M2 V
Kepler-303,b,0.024000,211.01,14.390,6.00,M0 V
Kepler-303,c,0.057000,211.01,14.390,6.00,M0 V
Kepler-309,b,0.059000,553.20,15.157,6.00,M0 V
Kepler-309,c,0.401000,553.20,15.157,6.00,M0 V
Kepler-32,b,0.050000,326.85,16.452,6.10,M1 V
Kepler-32,c,0.090000,326.85,16.452,6.10,M1 V
Kepler-32,d,0.130000,326.85,16.452,6.10,M1 V
Kepler-32,e,0.033000,326.85,16.452,6.10,M1 V
Kepler-32,f,0.013000,326.85,16.452,6.10,M1 V
Kepler-38,b,0.463200,1215.78,13.941,4.40,G4 V
Kepler-39,b,0.164000,1090.44,14.460,3.70,F7 V
Kepler-40,b,0.080000,2700.00,14.588,3.50,F5 IV
Kepler-41,b,0.031010,1128.11,14.465,4.20,G2 V
Kepler-411,b,0.037500,153.59,12.231,5.20,K2 V
Kepler-411,c,0.073900,153.59,12.231,5.20,K2 V
Kepler-411,d,0.279000,153.59,12.231,5.20,K2 V
Kepler-411,e,0.186000,153.59,12.231,5.20,K2 V
Kepler-412,b,0.028970,1121.32,13.730,4.30,G3 V
Kepler-42,b,0.011600,38.70,16.124,6.00,M
Kepler-42,c,0.006000,38.70,16.124,6.00,M
Kepler-42,d,0.015400,38.70,16.124,6.00,M
Kepler-421,b,1.219000,320.00,13.354,4.95,G9/K0
Kepler-423,b,0.035850,725.00,14.290,4.40,G4 V
Kepler-425,b,0.046400,650.00,14.970,5.10,K1 V
Kepler-426,b,0.041400,880.00,15.073,4.10,G1 V
Kepler-427,b,0.091000,1100.00,14.420,4.20,G2 V
Kepler-428,b,0.043300,720.00,15.405,5.10,K1 V
Kepler-43,b,0.046000,1035.90,13.958,3.80,F8 V
Kepler-44,b,0.044600,1229.15,14.678,4.20,G2 IV
Kepler-444,b,0.041780,36.48,8.880,5.00,K
Kepler-444,c,0.048810,36.48,8.880,5.00,K
Kepler-444,d,0.060000,36.48,8.880,5.00,K
Kepler-444,e,0.069600,36.48,8.880,5.00,K
Kepler-444,f,0.081100,36.48,8.880,5.00,K
Kepler-447,b,0.076900,270.12,12.394,4.80,G8 V
Kepler-45,b,0.030000,333.00,16.880,6.00,M
Kepler-452,b,1.046000,560.62,13.426,4.20,G2
Kepler-49,d,0.031000,314.02,15.264,6.10,M1 V
Kepler-49,e,0.116000,314.02,15.264,6.10,M1 V
Kepler-52,d,0.182000,324.54,15.095,6.00,M0 V
Kepler-539,b,0.498800,310.01,12.391,4.20,G2 V
Kepler-539,c,2.420000,310.01,12.391,4.20,G2 V
Kepler-54,d,0.126000,273.80,15.847,6.10,M1 V
Kepler-62,b,0.055300,368.00,13.725,5.20,K2 V
Kepler-62,c,0.092900,368.00,13.725,5.20,K2 V
Kepler-62,d,0.120000,368.00,13.725,5.20,K2 V
Kepler-62,e,0.427000,368.00,13.725,5.20,K2 V
Kepler-62,f,0.718000,368.00,13.725,5.20,K2 V
Kepler-66,b,0.135200,1107.00,15.300,4.00,G0 V
Kepler-67,b,0.117100,1107.00,16.400,4.90,G9 V
Kepler-69,b,0.094000,746.33,14.000,4.40,G4 V
Kepler-69,c,0.640000,746.33,14.000,4.40,G4 V
Kepler-74,b,0.078100,1218.33,14.230,3.80,F8 V
Kepler-75,b,0.081800,855.50,15.264,5.00,K0 V
Kepler-76,b,0.027400,842.87,13.308,3.00,F
Kepler-77,b,0.045010,570.00,13.938,4.50,G5 V
Kepler-80,b,0.064800,357.00,14.804,5.50,K5
Kepler-80,c,0.079200,357.00,14.804,5.50,K5
Kepler-80,d,0.037200,357.00,14.804,5.50,K5
Kepler-80,e,0.049100,357.00,14.804,5.50,K5
Kepler-80,f,0.017500,357.00,14.804,5.50,K5
Kepler-81,d,0.128000,351.79,15.019,6.00,M0 V
Kepler-83,d,0.051000,405.01,15.777,6.00,M0 V
Kepler-91,b,0.073100,1344.56,12.495,5.30,K3
L 168-9,b,0.020910,25.17,11.014,6.10,M1 V
L 98-59,b,0.022820,10.62,11.685,6.30,M3 V
L 98-59,c,0.031700,10.62,11.685,6.30,M3 V
L 98-59,d,0.050600,10.62,11.685,6.30,M3 V
LHS 1140,b,0.093600,14.99,14.180,6.45,M4.5 V
LHS 1140,c,0.026750,14.99,14.180,6.45,M4.5 V
LHS 1815,b,0.040400,29.87,12.150,6.10,M1
LHS 3844,b,0.006220,14.90,15.260,6.50,M5
LP 791-18,b,0.009690,26.49,16.900,6.00,M(6.1+/-0.7) V
LP 791-18,c,0.029392,26.49,16.900,6.00,M(6.1+/-0.7) V
LTT 1445 A,b,0.038070,6.87,11.220,6.30,M3
LTT 3780,b,0.012110,21.98,13.070,6.40,M4 V
LTT 3780,c,0.076730,21.98,13.070,6.40,M4 V
LTT 9779,b,0.016790,80.62,9.758,4.70,G7 V
MASCARA-1,b,0.043000,188.70,8.273,2.80,A8
MASCARA-4,b,0.047000,171.54,8.190,2.70,A7 V
NGC 2682 Sand 364,b,0.530000,837.03,9.800,5.30,K3 III
NGTS-1,b,0.032600,224.00,15.524,6.00,M0.5
NGTS-10,b,0.014300,324.70,14.340,5.50,K5 V
NGTS-11,b,0.201000,191.46,12.456,5.00,K
NGTS-12,b,0.075700,452.00,12.382,4.00,G
NGTS-2,b,0.063000,360.30,10.961,3.50,F5 V
NGTS-3 A,b,0.023000,1010.00,14.642,4.60,G6 V
NGTS-8,b,0.035000,434.28,13.680,5.00,K0 V
NGTS-9,b,0.058000,619.74,12.800,3.80,F8 V
OGLE-TR-10,b,0.043400,1386.23,14.930,4.20,G2 V
OGLE-TR-111,b,0.047300,1096.98,15.550,5.20,K2 V
OGLE-TR-113,b,0.022890,600.00,14.420,5.40,K4 V
OGLE-TR-132,b,0.030350,2500.00,15.720,3.50,F5 V
OGLE-TR-56,b,0.023830,282.84,15.300,3.80,F8 V
PDS 70,b,20.000000,113.39,12.233,5.70,K7
PDS 70,c,34.000000,113.39,12.233,5.70,K7
PH1,b,0.652000,1000.00,13.718,3.00,F
POTS-1,b,0.037340,1200.00,17.940,5.50,K5 V
Proxima Cen,b,0.048500,1.30,11.110,6.55,M5.5 V
Qatar-10,b,0.028600,539.00,12.879,3.70,F7 V
Qatar-3,b,0.037830,750.99,12.880,4.00,G0 V
Qatar-4,b,0.028030,332.17,13.600,5.10,K1 V
Qatar-5,b,0.041270,371.39,12.820,4.20,G2 V
Qatar-6,b,0.042300,101.14,11.438,5.20,K2 V
Qatar-7,b,0.035200,725.00,13.030,3.40,F4 V
Qatar-8,b,0.047400,276.70,11.526,4.00,G0 V
Qatar-9,b,0.023400,211.40,14.133,5.50,K5 V
ROXs 12,b,210.000000,137.19,14.294,6.00,M0
Ross 128,b,0.049600,3.38,11.150,6.40,M4
Ross 458,c,1100.000000,11.51,9.720,6.05,M0.5
TIC 237913194,b,0.120700,308.79,12.144,4.30,G3
TOI-1130,b,0.043940,58.36,11.368,5.70,K7
TOI-1130,c,0.070980,58.36,11.368,5.70,K7
TOI-125,b,0.051860,111.40,10.892,5.00,K0 V
TOI-125,c,0.081400,111.40,10.892,5.00,K0 V
TOI-125,d,0.137000,111.40,10.892,5.00,K0 V
TOI-1266,b,0.073600,36.05,12.940,6.30,M3
TOI-1266,c,0.105800,36.05,12.940,6.30,M3
TOI-157,b,0.031380,362.10,12.730,4.90,G9 IV
TOI-169,b,0.035240,412.50,12.360,4.10,G1 V
TOI-1728,b,0.039100,60.80,12.400,6.00,M0
TOI-270,b,0.030600,22.45,12.620,6.30,M3.0 V
TOI-270,c,0.047200,22.45,12.620,6.30,M3.0 V
TOI-270,d,0.073300,22.45,12.620,6.30,M3.0 V
TOI-481,b,0.097000,180.29,10.040,4.00,G
TOI-540,b,0.012230,14.01,14.492,6.00,M V
TOI-677,b,0.103800,142.39,9.800,3.80,F8
TOI-700,b,0.067700,31.07,13.072,6.20,M2 V
TOI-700,c,0.092900,31.07,13.072,6.20,M2 V
TOI-700,d,0.163300,31.07,13.072,6.20,M2 V
TOI-763,b,0.060000,95.39,10.156,4.00,G
TOI-763,c,0.101100,95.39,10.156,4.00,G
TOI-776,b,0.065200,27.19,11.540,6.10,M1 V
TOI-776,c,0.100000,27.19,11.540,6.10,M1 V
TOI-813,b,0.423000,265.15,10.322,4.00,G0 IV
TOI-824,b,0.021770,63.71,11.153,5.40,K4 V
TOI-849,b,0.015980,224.90,11.980,4.00,G
TOI-892,b,0.092000,343.84,11.450,3.00,F
TOI-942,b,0.047960,152.76,11.962,5.20,K2.5 V
TOI-942,c,0.084700,152.76,11.962,5.20,K2.5 V
TYC 8998-760-1,b,162.000000,94.60,11.130,5.30,K3 IV
TYC 8998-760-1,c,320.000000,94.60,11.130,5.30,K3 IV
Teegarden's Star,b,0.025200,3.83,15.080,6.70,M7.0 V
Teegarden's Star,c,0.044300,3.83,15.080,6.70,M7.0 V
TrES-3,b,0.022820,228.00,12.402,4.40,G4 V
USco1556 A,b,3500.000000,141.00,15.361,6.30,M3.0 V
USco1621 A,b,2880.000000,138.00,13.712,6.20,M2.5 V
V1298 Tau,b,0.168800,108.50,10.116,5.00,K0
V1298 Tau,c,0.082500,108.50,10.116,5.00,K0
V1298 Tau,d,0.108300,108.50,10.116,5.00,K0
V1298 Tau,e,0.308000,108.50,10.116,5.00,K0
VHS J125601.92-125723.9,b,102.000000,12.70,17.759,6.75,M7.5
WASP-1,b,0.038890,397.29,11.790,3.70,F7 V
WASP-10,b,0.037810,141.57,12.700,5.50,K5 V
WASP-103,b,0.019850,470.00,12.100,3.80,F8 V
WASP-104,b,0.029180,143.00,11.120,4.80,G8
WASP-105,b,0.075000,252.52,12.100,5.20,K2
WASP-113,b,0.058850,360.00,11.771,4.10,G1
WASP-114,b,0.028510,460.00,12.743,4.00,G0
WASP-118,b,0.054530,380.53,11.020,3.60,F6
WASP-119,b,0.036300,333.00,12.200,4.50,G5
WASP-120,b,0.051400,437.00,11.000,3.50,F5
WASP-121,b,0.025440,270.00,10.440,3.60,F6 V
WASP-123,b,0.042630,214.00,11.100,4.50,G5
WASP-124,b,0.044900,433.00,12.700,3.90,F9
WASP-129,b,0.062800,246.00,12.300,4.10,G1
WASP-130,b,0.101200,180.00,11.100,4.60,G6
WASP-131,b,0.060700,250.00,10.100,4.00,G0
WASP-132,b,0.067000,120.00,12.400,5.40,K4
WASP-133,b,0.034500,547.00,12.900,4.40,G4
WASP-135,b,0.024300,300.00,13.280,4.50,G5 V
WASP-139,b,0.062000,230.00,12.400,5.00,K0
WASP-140,b,0.032300,180.00,11.100,5.00,K0
WASP-141,b,0.046900,570.00,12.400,3.90,F9
WASP-142,b,0.034700,840.00,12.300,3.80,F8
WASP-148,b,0.084500,248.11,12.247,4.00,G
WASP-148,c,0.210100,248.11,12.247,4.00,G
WASP-150,b,0.069400,536.14,12.030,3.80,F8
WASP-151,b,0.055000,458.91,12.795,4.10,G1
WASP-153,b,0.048000,430.00,12.800,4.00,G0
WASP-156,b,0.045300,140.00,11.600,5.30,K3
WASP-157,b,0.049900,337.71,12.910,4.20,G2 V
WASP-173 A,b,0.024800,234.54,11.102,4.30,G3
WASP-176,b,0.053500,577.62,12.010,3.90,F9
WASP-177,b,0.039570,178.00,12.580,5.20,K2
WASP-18,b,0.020000,123.92,9.303,3.60,F6 IV/V
WASP-18,c,0.035000,123.92,9.303,3.60,F6 IV/V
WASP-180 A,b,0.048000,255.80,10.682,3.70,F7 V
WASP-181,b,0.054270,443.00,12.910,4.20,G2
WASP-183,b,0.046320,328.00,12.760,4.90,G9
WASP-19,b,0.016340,270.41,12.590,4.80,G8 V
WASP-2,b,0.031440,153.89,11.880,5.10,K1 V
WASP-20,b,0.060000,210.00,10.680,3.90,F9
WASP-21,b,0.052000,260.33,11.580,4.30,G3 V
WASP-28,b,0.044690,410.00,12.030,3.80,F8
WASP-33,b,0.023900,122.36,8.142,2.50,A5
WASP-4,b,0.022600,269.21,12.500,4.70,G7 V
WASP-43,b,0.014200,80.00,12.400,5.70,K7 V
WASP-44,b,0.034530,368.31,12.900,4.80,G8 V
WASP-45,b,0.039630,212.48,12.000,5.20,K2 V
WASP-46,b,0.023350,379.36,12.900,4.60,G6 V
WASP-5,b,0.026700,311.88,12.300,4.40,G4 V
WASP-52,b,0.027200,140.00,12.000,5.20,K2 V
WASP-57,b,0.037690,402.80,13.040,4.60,G6
WASP-59,b,0.069700,125.00,13.000,5.50,K5 V
WASP-64,b,0.026480,350.00,12.290,4.70,G7
WASP-65,b,0.033400,310.00,11.900,4.60,G6
WASP-70 A,b,0.048530,245.00,10.790,4.40,G4
WASP-75,b,0.037500,260.00,11.450,3.90,F9
WASP-76,b,0.033000,120.00,9.500,3.70,F7
WASP-8,c,5.280000,90.19,9.790,4.80,G8 V
WASP-80,b,0.034400,49.86,11.870,5.70,K7 V
WASP-83,b,0.059000,300.00,12.900,4.80,G8
WASP-84,b,0.077100,125.00,10.830,5.00,K0
WASP-85 A,b,0.039000,142.46,10.720,4.50,G5 V
WASP-89,b,0.042700,293.38,13.100,5.30,K3
WASP-90,b,0.056200,340.00,11.700,3.60,F6
WASP-91,b,0.037000,150.59,12.000,5.30,K3
WASP-92,b,0.034800,530.00,13.180,3.70,F7
WASP-93,b,0.042110,250.00,10.970,3.40,F4
WASP-94 B,b,0.033500,180.00,10.500,3.90,F9
WTS-1,b,0.047000,3200.00,16.130,3.60,F6 V
WTS-2,b,0.018550,1000.00,15.900,5.20,K2 V
Wolf 1061,b,0.037500,4.31,10.030,6.35,M3.5
Wolf 1061,c,0.089000,4.31,10.030,6.35,M3.5
Wolf 1061,d,0.470000,4.31,10.030,6.35,M3.5
Wolf 503,b,0.057100,44.58,10.260,5.30,K3.5 V
XO-2 N,b,0.036800,154.94,11.138,5.00,K0 V
XO-5,b,0.051500,278.37,12.130,4.80,G8 V
XO-6,b,0.081500,237.06,10.250,3.50,F5
XO-7,b,0.044210,234.10,10.520,4.00,G0 V
YZ Cet,b,0.015570,3.60,12.074,6.40,M4.5
YZ Cet,c,0.020900,3.60,12.074,6.40,M4.5
YZ Cet,d,0.027640,3.60,12.074,6.40,M4.5
alf Ari,b,1.200000,20.21,2.000,5.10,K1 IIIb
alf Tau,b,1.460000,20.43,0.850,5.50,K5 III
bet Cnc,b,1.700000,90.54,3.530,5.40,K4 III
bet Pic,b,9.100000,19.75,3.850,2.50,A5 V
bet Pic,c,2.700000,19.75,3.850,2.50,A5 V
bet UMi,b,1.400000,38.78,2.080,5.40,K4 III
eps CrB,b,1.300000,69.98,4.150,5.20,K2 III
eps Ind A,b,11.550000,3.64,4.690,5.20,K2 V
eps Tau,b,1.930000,49.23,3.540,5.00,K0 III
gam 1 Leo,b,1.190000,38.52,1.980,5.10,K1 IIIb Fe-0.5
gam Cep,b,2.050000,13.54,3.210,5.10,K1 IV
gam Lib,b,1.240000,47.43,3.910,5.00,K0 III
gam Lib,c,2.170000,47.43,3.910,5.00,K0 III
iot Dra,b,1.275000,31.67,3.290,5.20,K2 III
kap And,b,55.000000,50.06,4.140,1.90,B9 IV
kap CrB,b,2.650000,30.09,4.790,5.00,K0 III-IV
mu Leo,b,1.100000,32.63,3.880,5.20,K2 III
nu Oph,b,1.790000,46.20,3.340,5.00,K0 III
nu Oph,c,5.931000,46.20,3.340,5.00,K0 III
ome Ser,b,1.100000,76.91,5.230,4.80,G8 III
omi CrB,b,0.830000,84.99,5.510,5.00,K0
omi UMa,b,3.900000,60.50,3.360,4.50,G5 III
HD 39091,c,0.068390,18.28,5.670,4.00,G0 V
psi 1 Dra B,b,4.430000,22.16,5.699,4.00,G0 V
rho CrB,b,0.219600,17.48,5.410,4.00,G0 V
rho CrB,c,0.412300,17.48,5.410,4.00,G0 V
tau Boo,b,0.049000,15.66,4.500,3.70,F7 V
tau Cet,e,0.538000,3.60,3.500,4.80,G8 V
tau Cet,f,1.334000,3.60,3.500,4.80,G8 V
tau Cet,g,0.133000,3.60,3.500,4.80,G8 V
tau Cet,h,0.243000,3.60,3.500,4.80,G8 V
tau Gem,b,1.170000,112.64,4.420,5.20,K2 III
ups And,b,0.059222,13.41,4.100,3.80,F8 V
ups And,c,0.827774,13.41,4.100,3.80,F8 V
ups And,d,2.513290,13.41,4.100,3.80,F8 V
xi Aql,b,0.680000,56.27,4.707,4.90,G9 III
